Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LandNotFlat,Shed,NoGarage,NFloors,SplitLvl,LvlFinished,RoofMatlCompShg,YearRemodDiff,OverallGoodQual,OverallPoorQual,OverallGoodCond,OverallPoorCond,LotDepth,LotShapeRatio,GrLivLotRatio,HouseLotAreaRatio,HouseLotAreaDiff,Garage1stFlrRatio,GrLiv1stFlrRatio,FloorsSFRatio,Bsmt1stFlrRatio,Bsmt2FlrRatio,Bsmt1FlrRatio,OverallQualCond,RailroadNearby,RoadNearby,PosSiteNearby,Bath,BsmtBath,BathTotal,QualTimes1stFlSF,QualTimes2ndFlSF,QualTimesGrLivArea,QualTimesLotArea,QualTimesGarageArea,QualTimesBath,QualTimesKitchen,CondTimes1stFlSF,CondTimes2ndFlSF,CondTimesGrLivArea,CondTimesLotArea,CondTimesGarageArea,CondTimesBath,CondTimesKitchen,GarageQualTimesArea,GarageCondTimesArea,GarageQualCond,ExterQualTimesLotArea,ExterQualTimesGrLivArea,ExterQualTimes1stFlrSF,ExterCondTimesLotArea,ExterCondTimesGrLivArea,ExterCondTimes1stFlrSF,RealEstateVol
1,60,RL,65,8450,4,Lvl,4,Inside,1,CollgCr,1Fam,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196,4,3,PConc,4,3,1,5,706,0,0,150,856,GasA,5,1,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,6,0,Attchd,2003,RFn,2,548,3,3,2,0,61,0,0,0,0,-1,0,2,2008,WD,Normal,208500,0,0,0,2,0,0,1,0,2,0,0,0,130,0.69314718056000002,0.202366863905,0.101301775148,-7594,0.64018691588800003,0.49941520467799999,0.99766355140200003,1,0,0.82476635513999996,35,0,0,0,3,1,4,5992,5978,11970,59150,3836,28,7,4280,4270,8550,42250,2740,20,5,1644,1644,9,33800,6840,3424,25350,5130,2568,1593700
2,20,RL,80,9600,4,Lvl,4,FR2,1,Veenker,1Fam,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0,3,3,CBlock,4,3,4,4,978,0,0,284,1262,GasA,5,1,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,Attchd,1976,RFn,2,460,3,3,2,298,0,0,0,0,0,-1,0,5,2007,WD,Normal,181500,0,0,0,1,0,0,1,0,1,0,3,0,120,0.40546510810800002,0.131458333333,0.131458333333,-8338,0.36450079239299998,0,0,1,0,0.77496038034900006,48,0,1,0,2,1,3,7572,0,7572,57600,2760,18,6,10096,0,10096,76800,3680,24,8,1380,1380,9,28800,3786,3786,28800,3786,3786,7304561
3,60,RL,68,11250,3,Lvl,4,Inside,1,CollgCr,1Fam,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162,4,3,PConc,4,3,2,5,486,0,0,434,920,GasA,5,1,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,6,1,Attchd,2001,RFn,2,608,3,3,2,0,42,0,0,0,0,-1,0,9,2008,WD,Normal,223500,0,0,0,2,0,0,1,1,2,0,0,0,165.44117647100001,0.88910799728000001,0.15875555555599999,0.081777777777800001,-10330,0.66086956521700002,0.48488241881299998,0.94130434782600003,1,0,0.52826086956499996,35,0,0,0,3,1,4,6440,6062,12502,78750,4256,28,7,4600,4330,8930,56250,3040,20,5,1824,1824,9,45000,7144,3680,33750,5358,2760,2883650
4,70,RL,60,9550,3,Lvl,4,Corner,1,Crawfor,1Fam,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0,3,3,BrkTil,3,4,1,4,216,0,0,540,756,GasA,4,1,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,6,1,Detchd,1998,Unf,3,642,3,3,2,0,35,272,0,0,0,-1,0,2,2006,WD,Abnorml,140000,0,0,0,2,0,0,1,55,2,0,0,0,159.16666666699999,0.97560730903100001,0.17979057591600001,0.100628272251,-8589,0.66805411030200001,0.44030285381500001,0.78668054110300001,0.78668054110300001,0,0.22476586888700001,35,0,0,0,1,1,2,6727,5292,12019,66850,4494,14,7,4805,3780,8585,47750,3210,10,5,1926,1926,9,28650,5151,2883,28650,5151,2883,1748900
5,60,RL,84,14260,3,Lvl,4,FR2,1,NoRidge,1Fam,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350,4,3,PConc,4,3,3,5,655,0,0,490,1145,GasA,5,1,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,6,1,Attchd,2000,RFn,3,836,3,3,2,192,84,0,0,0,0,-1,0,12,2008,WD,Normal,250000,0,0,0,2,0,0,1,0,3,0,0,0,169.761904762,0.70358009628200002,0.15413744740499999,0.080294530154300006,-13115,0.73013100436699996,0.47907188353000002,0.91965065502200005,1,0,0.57205240174700001,40,0,0,0,3,1,4,9160,8424,17584,114080,6688,32,8,5725,5265,10990,71300,4180,20,5,2508,2508,9,57040,8792,4580,42780,6594,3435,2458400
6,50,RL,85,14115,3,Lvl,4,Inside,1,Mitchel,1Fam,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0,3,3,Wood,4,3,1,5,732,0,0,64,796,GasA,5,1,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,Attchd,1993,Unf,2,480,3,3,2,40,30,0,320,0,0,3,700,10,2009,WD,Normal,143000,0,1,0,1.5,0,1,1,2,0,0,0,0,166.05882352899999,0.66969082770699995,0.096493092454800006,0.056393907190899997,-13319,0.60301507537700005,0.41556534508100001,0.71105527638199995,1,0,0.91959798994999997,25,0,0,0,2,1,3,3980,2830,6810,70575,2400,15,5,3980,2830,6810,70575,2400,15,5,1440,1440,9,42345,4086,2388,42345,4086,2388,4730578
7,20,RL,75,10084,4,Lvl,4,Inside,1,Somerst,1Fam,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186,4,3,PConc,5,3,3,5,1369,0,0,317,1686,GasA,5,1,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,6,1,Attchd,2004,RFn,2,636,3,3,2,255,57,0,0,0,0,-1,0,8,2007,WD,Normal,307000,0,0,0,1,0,0,1,1,3,0,0,0,134.45333333299999,0.58372906123500001,0.167988893296,0.167988893296,-8390,0.375442739079,0,0,0.99527744982300004,0,0.80814639905499996,40,0,0,0,2,1,3,13552,0,13552,80672,5088,24,8,8470,0,8470,50420,3180,15,5,1908,1908,9,40336,6776,6776,30252,5082,5082,7357643
8,60,RL,69,10382,3,Lvl,4,Corner,1,NWAmes,1Fam,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240,3,3,CBlock,4,3,2,4,859,3,32,216,1107,GasA,5,1,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,Attchd,1973,RFn,2,484,3,3,2,235,204,228,0,0,0,-1,350,11,2009,WD,Normal,200000,0,1,0,2,0,0,1,0,2,0,1,0,150.46376811600001,0.77961580719300005,0.201309959545,0.106626854171,-9275,0.43721770551,0.47033492823,0.88798554652200001,1,0.028906955736199998,0.77597109304400003,42,0,0,1,3,1,4,7749,6881,14630,72674,3388,28,7,6642,5898,12540,62292,2904,24,6,1452,1452,9,31146,6270,3321,31146,6270,3321,3440400
9,50,RM,51,6120,4,Lvl,4,Inside,1,OldTown,1Fam,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0,3,3,BrkTil,3,3,1,0,0,0,0,952,952,GasA,4,1,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,5,2,Detchd,1931,Unf,2,468,2,3,2,90,0,205,0,0,0,-1,0,4,2008,WD,Abnorml,129900,0,0,0,1.5,0,1,1,19,2,0,0,0,120,0.85566611005799997,0.28986928104600002,0.166993464052,-5098,0.45792563600800001,0.42390078917700003,0.735812133072,0.93150684931500005,0,0,35,0,1,0,2,0,2,7154,5264,12418,42840,3276,14,14,5110,3760,8870,30600,2340,10,10,936,1404,6,18360,5322,3066,18360,5322,3066,4141627
10,190,RL,50,7420,4,Lvl,4,Corner,1,BrkSide,2fmCon,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,1,5,851,0,0,140,991,GasA,5,1,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,Attchd,1939,RFn,1,205,4,3,2,0,4,0,0,0,0,-1,0,1,2008,WD,Normal,118000,0,0,0,1.5,0,0,1,11,0,0,1,0,148.40000000000001,1.08788832531,0.14514824797799999,0.14514824797799999,-6343,0.19034354688999999,0,0,0.92014856081700003,0,0.79015784586799998,30,0,1,0,1,1,2,5385,0,5385,37100,1025,10,10,6462,0,6462,44520,1230,12,12,820,615,12,22260,3231,3231,22260,3231,3231,2320561
